RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        10360     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.238D+03  1.439D+04
    1    2     1     0  ---    0  1.2D-04  1.0D+00  1.072D+03  1.035D+04
    2    3     0     0  con    0  1.0D+00  6.8D-01  7.196D+02  8.357D+03
    3    4     0     0  con    0  1.0D+00  2.2D+00  1.085D+02  6.416D+03
    4    5     0     0  con    0  1.0D+00  3.9D-01  4.438D+01  6.212D+03
    5    7     0     0  con    1  1.7D-01  2.3D-01  6.625D+01  6.161D+03
    6    8     0     0  con    0  1.0D+00  1.2D-01  7.275D+01  6.109D+03
    7    9     0     0  con    0  1.0D+00  6.6D-01  9.005D+01  6.036D+03
    8   10     0     0  con    0  1.0D+00  1.8D-01  7.838D+01  5.939D+03
    9   11     0     0  con    0  1.0D+00  1.0D+00  1.450D+02  5.914D+03
   10   12     0     0  con    0  1.0D+00  3.7D-01  1.094D+02  5.761D+03
   11   13     0     0  con    0  1.0D+00  2.3D+00  1.092D+02  5.713D+03
   12   14     0     0  con    0  1.0D+00  8.9D-01  8.643D+01  5.443D+03
   13   15     0     0  con    0  1.0D+00  1.8D+00  8.256D+01  5.187D+03
   14   16     0     0  con    0  1.0D+00  1.5D+00  1.034D+02  5.065D+03
   15   17     0     0  con    0  1.0D+00  2.7D+00  8.106D+01  4.859D+03
   16   18     0     0  con    0  1.0D+00  7.9D+00  1.395D+02  4.558D+03
   17   19     0     0  con    0  1.0D+00  1.3D+00  5.092D+01  4.357D+03
   18   20     0     0  con    0  1.0D+00  1.4D+00  6.746D+01  4.260D+03
   19   21     0     0  con    0  1.0D+00  3.8D+00  7.134D+01  4.138D+03
   20   23     0     0  con    1  1.7D-01  1.4D+00  7.836D+01  4.099D+03
   21   24     0     0  con    0  1.0D+00  2.5D+00  6.299D+01  3.977D+03
   22   25     0     0  con    0  1.0D+00  3.4D+00  6.146D+01  3.868D+03
   23   26     0     0  con    0  1.0D+00  1.7D+00  5.920D+01  3.677D+03
   24   27     0     0  con    0  1.0D+00  3.5D+00  6.354D+01  3.431D+03
   25   28     0     0  con    0  1.0D+00  4.0D+00  6.848D+01  3.314D+03
   26   29     0     0  con    0  1.0D+00  1.3D+00  5.436D+01  3.233D+03
   27   30     0     0  con    0  1.0D+00  7.1D-01  4.925D+01  3.165D+03
   28   31     0     0  con    0  1.0D+00  1.9D+00  5.818D+01  3.048D+03
   29   32     0     0  con    0  1.0D+00  2.1D+00  5.854D+01  2.948D+03
   30   33     0     0  con    0  1.0D+00  4.8D+00  5.966D+01  2.794D+03
   31   34     0     0  con    0  1.0D+00  1.5D+00  4.730D+01  2.599D+03
   32   35     0     0  con    0  1.0D+00  1.3D+00  4.734D+01  2.533D+03
   33   36     0     0  con    0  1.0D+00  1.1D+00  4.599D+01  2.474D+03
   34   37     0     0  con    0  1.0D+00  1.5D+00  3.546D+01  2.407D+03
   35   38     0     0  con    0  1.0D+00  1.1D+00  4.133D+01  2.323D+03
