RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          900     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.781D-01  6.012D+00
    1    2     1     0  ---    0  2.1D-01  1.0D+00  1.589D-01  2.681D+00
    2    3     0     0  con    0  1.0D+00  7.5D-01  3.990D-02  1.734D+00
    3    4     0     0  con    0  1.0D+00  4.3D-01  1.785D-02  1.537D+00
    4    5     0     0  con    0  1.0D+00  3.1D-01  7.520D-03  1.481D+00
    5    6     0     0  con    0  1.0D+00  1.8D-01  5.300D-03  1.470D+00
    6    7     0     0  con    0  1.0D+00  1.4D-01  5.219D-03  1.466D+00
    7    8     0     0  con    0  1.0D+00  2.9D-01  4.916D-03  1.460D+00
    8    9     0     0  con    0  1.0D+00  7.7D-01  5.480D-03  1.447D+00
    9   10     0     0  con    0  1.0D+00  1.5D+00  1.393D-02  1.437D+00
   10   11     0     0  con    0  1.0D+00  5.1D-01  5.571D-03  1.425D+00
   11   12     0     0  con    0  1.0D+00  1.2D-01  4.332D-03  1.421D+00
   12   13     0     0  con    0  1.0D+00  1.8D-01  3.264D-03  1.418D+00
   13   14     0     0  con    0  1.0D+00  6.3D-02  1.807D-03  1.417D+00
   14   15     0     0  con    0  1.0D+00  8.1D-02  2.716D-03  1.417D+00
   15   16     0     0  con    0  1.0D+00  2.0D-01  4.776D-03  1.416D+00
   16   17     0     0  con    0  1.0D+00  4.4D-01  6.269D-03  1.414D+00
   17   18     0     0  con    0  1.0D+00  6.6D-01  5.676D-03  1.412D+00
   18   19     0     0  con    0  1.0D+00  8.3D-01  4.147D-03  1.410D+00
   19   20     0     0  con    0  1.0D+00  4.3D-01  1.631D-03  1.408D+00
   20   21     0     0  con    0  1.0D+00  1.4D-01  2.308D-03  1.407D+00
   21   22     0     0  con    0  1.0D+00  2.6D-01  2.152D-03  1.407D+00
   22   23     0     0  con    0  1.0D+00  2.9D-01  2.352D-03  1.406D+00
   23   24     0     0  con    0  1.0D+00  2.5D-01  1.362D-03  1.406D+00
   24   25     0     0  con    0  1.0D+00  1.6D-01  5.641D-04  1.406D+00
   25   26     0     0  con    0  1.0D+00  8.5D-02  9.907D-04  1.406D+00
   26   27     0     0  con    0  1.0D+00  8.5D-02  9.408D-04  1.405D+00
   27   28     0     0  con    0  1.0D+00  2.7D-01  1.095D-03  1.405D+00
   28   29     0     0  con    0  1.0D+00  2.4D-01  8.216D-04  1.405D+00
   29   30     0     0  con    0  1.0D+00  1.8D-01  6.947D-04  1.405D+00
   30   31     0     0  con    0  1.0D+00  2.8D-01  1.255D-03  1.404D+00
   31   32     0     0  con    0  1.0D+00  5.9D-02  5.243D-04  1.404D+00
   32   33     0     0  con    0  1.0D+00  4.2D-02  5.774D-04  1.404D+00
   33   34     0     0  con    0  1.0D+00  1.9D-01  1.097D-03  1.404D+00
   34   35     0     0  con    0  1.0D+00  2.1D-01  9.637D-04  1.404D+00
   35   36     0     0  con    0  1.0D+00  3.8D-01  2.123D-03  1.404D+00
   36   37     0     0  con    0  1.0D+00  1.0D-01  7.150D-04  1.403D+00
   37   38     0     0  con    0  1.0D+00  2.0D-01  1.363D-03  1.403D+00
   38   39     0     0  con    0  1.0D+00  3.8D-01  2.171D-03  1.403D+00
   39   40     0     0  con    0  1.0D+00  4.6D-01  2.265D-03  1.402D+00
   40   41     0     0  con    0  1.0D+00  1.3D+00  2.536D-03  1.401D+00
   41   42     0     0  con    0  1.0D+00  1.5D+00  2.904D-03  1.401D+00
   42   43     0     0  con    0  1.0D+00  5.1D-01  1.958D-03  1.399D+00
   43   44     0     0  con    0  1.0D+00  3.4D-01  2.100D-03  1.398D+00
   44   45     0     0  con    0  1.0D+00  7.3D-01  2.268D-03  1.397D+00
   45   46     0     0  con    0  1.0D+00  1.5D+00  6.590D-03  1.397D+00
   46   47     0     0  con    0  1.0D+00  3.9D-01  3.042D-03  1.395D+00
   47   48     0     0  con    0  1.0D+00  6.5D-01  3.407D-03  1.393D+00
   48   49     0     0  con    0  1.0D+00  1.5D+00  5.097D-03  1.391D+00
   49   50     0     0  con    0  1.0D+00  1.3D+00  4.527D-03  1.388D+00
   50   52     0     0  con    1  5.2D-01  9.6D-01  5.997D-03  1.387D+00
   51   53     0     0  con    0  1.0D+00  4.7D-01  2.364D-03  1.385D+00
   52   54     0     0  con    0  1.0D+00  3.1D-01  2.552D-03  1.384D+00
   53   55     0     0  con    0  1.0D+00  3.3D-01  3.309D-03  1.383D+00
   54   56     0     0  con    0  1.0D+00  9.9D-01  4.902D-03  1.381D+00
   55   57     0     0  con    0  1.0D+00  1.2D+00  4.880D-03  1.379D+00
